date,name,place,link,label
2026-08-15,"LK Radio #014","Mixcloud",,Mixcloud
2026-08-23,"La Terraza Dortmund","Schluck und Schnack, Dortmund",https://www.instagram.com/laterraza.ms/,More details,
2026-08-28,"La Terraza","LUX & LWL Museum @ Stadtfest & NRW-Tag, Münster",https://www.instagram.com/laterraza.ms/,More details,
2026-08-29,"La Terraza","LUX & LWL Museum @ Stadtfest & NRW-Tag, Münster",https://www.instagram.com/laterraza.ms/,More details,
2026-09-19,"LK Radio #015","Mixcloud",,Mixcloud
